"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 0-4",3989
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 0-4",3809
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 5-9",9278
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 5-9",4741
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 5-9",4537
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 10-14",11118
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 10-14",5673
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 10-14",5446
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 15-19",9237
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 15-19",4641
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 15-19",4596
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 20-24",8283
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 20-24",4108
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 20-24",4175
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 25-29",8202
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 25-29",4092
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 25-29",4110
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 30-34",7483
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 30-34",3728
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 30-34",3755
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 35-39",5974
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 35-39",2721
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 35-39",3253
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 40-44",4976
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 40-44",2254
